Timestamp;SOL - Solignano Ulia: 268.34 cm
2023-03-02 15:17:41;255.69
2023-03-02 15:32:40;255.56
2023-03-02 15:47:40;255.66
2023-03-02 16:02:40;255.34
2023-03-02 16:17:40;256.31
2023-03-02 16:32:40;256.19
2023-03-02 16:47:40;256.03
2023-03-02 17:02:40;256.19
2023-03-02 17:17:40;255.25
2023-03-02 17:32:40;254.38
2023-03-02 17:47:40;253.81
2023-03-02 18:02:40;253.25
2023-03-02 18:17:40;252.94
2023-03-02 18:32:40;253.44
2023-03-02 18:47:40;252.44
2023-03-02 19:02:40;253.31
2023-03-02 19:17:40;254.53
2023-03-02 19:32:40;255.22
2023-03-02 19:47:40;255.06
2023-03-02 20:02:40;255.72
2023-03-02 20:17:40;255.38
2023-03-02 20:32:40;254.56
2023-03-02 20:47:40;254.53
2023-03-02 21:02:40;254.72
2023-03-02 21:17:40;254.31
2023-03-02 21:32:40;255.78
2023-03-02 21:47:40;255.53
2023-03-02 22:02:40;255.84
2023-03-02 22:17:40;256.06
2023-03-02 22:32:40;256.56
2023-03-02 22:47:40;256.28
2023-03-02 23:02:41;252.31
2023-03-02 23:17:41;255.88
2023-03-02 23:32:40;256.31
2023-03-02 23:47:40;256.56
2023-03-03 00:02:40;251.91
2023-03-03 00:17:40;255.72
2023-03-03 00:32:40;254.56
2023-03-03 00:47:40;255.5
2023-03-03 01:02:40;254.59
2023-03-03 01:17:40;255.47
2023-03-03 01:32:40;255.31
2023-03-03 01:47:40;255.44
2023-03-03 02:02:40;256.44
2023-03-03 02:17:40;253.28
2023-03-03 02:32:40;256.28
2023-03-03 02:47:40;253.84
2023-03-03 03:02:40;255.56
2023-03-03 03:17:40;255.81
2023-03-03 03:32:40;253.97
2023-03-03 03:47:40;254.63
2023-03-03 04:02:40;254.69
2023-03-03 04:17:40;256.0
2023-03-03 04:32:40;251.94
2023-03-03 04:47:40;255.88
2023-03-03 05:02:40;256.81
2023-03-03 05:17:40;253.13
2023-03-03 05:32:40;256.44
2023-03-03 05:47:40;255.34
2023-03-03 06:02:40;255.03
2023-03-03 06:17:40;256.22
2023-03-03 06:32:40;252.03
2023-03-03 06:47:40;255.53
2023-03-03 07:02:41;255.91
2023-03-03 07:17:41;254.72
2023-03-03 07:32:40;254.97
2023-03-03 07:47:40;254.0
2023-03-03 08:02:40;254.06
2023-03-03 08:17:40;254.0
2023-03-03 08:32:40;253.97
2023-03-03 08:47:40;254.97
2023-03-03 09:02:40;255.0
2023-03-03 09:17:40;254.97
2023-03-03 09:32:40;256.03
2023-03-03 09:47:40;256.03
2023-03-03 10:02:40;255.78
2023-03-03 10:17:40;256.16
2023-03-03 10:32:40;255.41
2023-03-03 10:47:40;254.81
2023-03-03 11:02:40;254.97
2023-03-03 11:17:40;255.31
2023-03-03 11:32:40;254.97
2023-03-03 11:47:40;254.88
2023-03-03 12:02:40;255.22
2023-03-03 12:17:40;254.97
2023-03-03 12:32:40;254.72
2023-03-03 12:47:40;254.91
2023-03-03 13:02:40;254.56
2023-03-03 13:17:40;253.97
2023-03-03 13:32:40;254.41
2023-03-03 13:47:40;254.0
2023-03-03 14:02:40;254.56
2023-03-03 14:17:40;254.5
2023-03-03 14:32:40;254.88
2023-03-03 14:47:40;255.22
2023-03-03 15:02:41;255.19
2023-03-03 15:17:41;254.66
2023-03-03 15:32:40;254.81
2023-03-03 15:47:40;255.13
2023-03-03 16:02:40;255.31
2023-03-03 16:17:40;254.81
2023-03-03 16:32:40;255.59
2023-03-03 16:47:40;255.91
2023-03-03 17:02:40;256.91
2023-03-03 17:17:40;255.94
2023-03-03 17:32:40;256.41
2023-03-03 17:47:40;255.78
2023-03-03 18:02:40;255.06
2023-03-03 18:17:40;253.53
2023-03-03 18:32:40;253.06
2023-03-03 18:47:40;252.81
2023-03-03 19:02:40;252.78
2023-03-03 19:17:40;253.03
2023-03-03 19:32:40;254.56
2023-03-03 19:47:40;254.78
2023-03-03 20:02:40;254.84
2023-03-03 20:17:40;254.94
2023-03-03 20:32:40;255.88
2023-03-03 20:47:40;256.03
2023-03-03 21:02:40;255.53
2023-03-03 21:17:40;255.06
2023-03-03 21:32:40;255.56
2023-03-03 21:47:40;255.94
2023-03-03 22:02:40;256.0
2023-03-03 22:17:40;255.75
2023-03-03 22:32:40;255.81
2023-03-03 22:47:40;256.47
2023-03-03 23:02:41;256.97
2023-03-03 23:17:41;255.78
2023-03-03 23:32:40;253.72
2023-03-03 23:47:40;256.72
2023-03-04 00:02:40;256.13
2023-03-04 00:17:40;254.38
2023-03-04 00:32:40;255.97
2023-03-04 00:47:40;254.22
2023-03-04 01:02:40;255.72
2023-03-04 01:17:40;256.38
2023-03-04 01:32:40;254.22
2023-03-04 01:47:40;256.06
2023-03-04 02:02:40;254.41
2023-03-04 02:17:40;255.53
2023-03-04 02:32:40;253.22
2023-03-04 02:47:40;256.0
2023-03-04 03:02:40;254.41
2023-03-04 03:17:40;256.16
2023-03-04 03:32:40;253.81
2023-03-04 03:47:40;255.91
2023-03-04 04:02:40;253.06
2023-03-04 04:17:40;256.41
2023-03-04 04:32:40;253.38
2023-03-04 04:47:40;256.91
2023-03-04 05:02:40;252.72
